,rcdts,incidents_per_pupil
2375,440630150042005,0.006015037593984963
6924,150162990252059,0.012987012987012988
7162,150162990252405,0.00784313725490196
5789,510841860252040,0.0
5758,510840100261001,0.0
1676,211000040262010,0.02631578947368421
8229,340490730042002,0.011406844106463879
8169,340490370022003,0.006276150627615063
5644,490810400222016,0.002785515320334262
2245,390550030262006,0.0017730496453900709
205,050160260022003,0.02734375
2778,540921180242021,0.011029411764705883
6141,041012050252017,0.2760416666666667
5746,510840010262001,0.03666666666666667
347,050160740022004,0.01405152224824356
2338,410570100262011,0.01634877384196185
5088,320460610022002,0.001890359168241966
2559,490810410252009,0.07532467532467532
5617,480723220262002,0.0
3396,060160890022008,0.0
5510,440632000262006,0.011527377521613832
5458,440630030031001,0.058823529411764705
1193,150162990252704,0.12962962962962962
5741,510652020262006,0.0
8607,480720680022002,0.05204460966542751
3359,060160780022001,0.0
202,050160250022018,0.0038240917782026767
5005,310453000261001,0.3655564581640942
8293,340491180262005,0.006423982869379015
5107,330482050262017,0.0
2525,480723230262003,0.0326975476839237
2780,540925120262001,0.0625
8713,500820900042004,0.0
679,070161700022011,0.003472222222222222
3813,110703020261001,0.08074534161490683
5744,510652130262003,0.0
3754,090101160222004,0.13468013468013468
2564,490810410252020,0.41208791208791207
1952,310453030262003,0.008403361344537815
8460,410570100262022,0.012121212121212121
296,050160620042008,0.0019723865877712033
188,050160210042014,0.0
6033,010090150262003,0.008403361344537815
8232,340490730042007,0.0
2683,510841860252028,0.34959349593495936
7284,150162990252766,0.0029585798816568047
2605,500821150022001,0.0
4637,190222030262006,0.0
1168,150162990252503,0.029036004645760744
1246,150162990252898,0.0
4085,150162990252321,0.005025125628140704
5864,540920040262002,0.08423326133909287
3652,070161580022006,0.0
7905,300020050261001,1.5176470588235293
4044,150162990252259,0.14345991561181434
1390,170640870252009,0.012345679012345678
1475,190220580022008,0.0
2202,350500175042001,0.0
656,070161620022008,0.46875
2692,510841860252046,0.15492957746478872
4812,240473080262013,0.0
998,150162990252239,0.04633620689655173
2966,56099033C042005,0.00234192037470726
4060,150162990252284,0.056962025316455694
5893,56099030C042007,0.0
236,050160370021001,0.04225352112676056
713,080892020262003,0.038461538461538464
3501,07016113A021002,0.008547008547008548
503,070161230021001,0.11970534069981584
2288,400560060262001,0.012403100775193798
696,080432050262002,0.06666666666666667
7040,150162990252231,0.03439153439153439
3938,150162990252101,0.012534818941504178
2847,560992020222004,0.04582210242587601
5865,540920070262001,0.0
3059,030110040261001,0.34285714285714286
8903,540921180242021,0.0
4850,280060940042001,0.0
24,010691170221013,1.10873786407767
1381,170640160261001,0.10997442455242967
7063,150162990252266,0.03361344537815126
8891,540920110261001,0.4856115107913669
3544,070161280022006,0.0
5637,490810370022008,0.07990314769975787
2757,531021400262005,0.0
5878,540921180242020,0.13676470588235295
6807,110180770262003,0.0022988505747126436
8847,530901080022009,0.0
2180,340491180262001,0.0
4700,200830030262010,0.0
2465,470980020261002,0.16037735849056603
7529,190220160022005,0.0
81,030680120262006,0.009345794392523364
2248,390550090262002,0.10759493670886076
7141,150162990252380,0.16018099547511314
576,070161440022004,0.0425531914893617
7171,150162990252417,0.06296851574212893
2759,540920010262001,0.002898550724637681
2658,510840100261001,0.02
8558,470521700222004,0.0
1792,280881000262002,0.0
4914,300910430042001,0.0125
5512,440632000262008,0.04721030042918455
6253,050160360021005,0.010498687664041995
2853,560992020222010,0.005893909626719057
1485,190220620021001,0.05370843989769821
4214,150162990252501,0.007207207207207207
7316,15016299025284C,0.0073937153419593345
8651,480723270262004,0.008888888888888889
8898,540921180242005,0.047619047619047616
7426,170200150262005,0.0
4395,160194290262001,0.01818181818181818
3461,060161020022007,0.0
5170,340490560022003,0.005791505791505791
5079,320460050261004,0.15889464594127806
7262,150162990252637,0.02512562814070352
5451,410570130022002,0.19954648526077098
3003,56099365U262011,0.03992015968063872
3822,110870210262001,0.0
8798,510841860252015,0.0
5952,560991610021001,0.0942622950819672
6796,110150010261002,0.15217391304347827
4978,310451290222005,0.0
750,090101370022006,0.5873925501432665
7049,150162990252246,0.005361930294906166
1782,280372280262005,0.1184573002754821
