,rcdts,total_incidents
1859,310450460222031,22.0
7270,150162990252704,4.0
1203,150162990252767,130.0
1634,200970030262003,2.0
8020,310451310222011,19.0
3196,050160210042010,3.0
721,090100040261005,21.0
4988,310451310221002,375.0
6319,050160620042009,0.0
4828,260290970262002,10.0
5556,470712310042005,0.0
4772,240320540022004,33.0
8820,530601260262002,0.0
5247,340491090022007,0.0
1419,190220150021004,129.0
1867,310450460222044,39.0
6705,070161700022008,4.0
1691,240322010042003,0.0
5992,56099207U262003,0.0
6893,130581000261001,0.0
3387,060160880022006,51.0
8188,340490500042006,1.0
3886,130581350022008,19.0
1582,190222040262018,7.0
5874,540921180242005,43.0
3351,050160720022002,0.0
3521,070161230022008,0.0
621,070161520022008,70.0
2876,11087003A262001,7.0
3125,041012050251006,1319.0
7779,211000040262008,5.0
5667,490812000262007,1.0
5877,540921180242019,3.0
5146,340490370021001,57.0
7068,150162990252270,0.0
6794,11012003C262005,2.0
4718,200970030262003,4.0
1346,170540270021001,2.0
581,070161450021001,75.0
1650,210281960261001,18.0
5775,510841860252016,0.0
1608,200350010261001,46.0
4928,310450460222007,3.0
3226,050160300021001,2.0
2858,560992020222015,10.0
3675,070161630022003,54.0
1354,170640020261002,0.0
637,070161580022005,7.0
3836,120400010262002,40.0
1564,190222040261002,50.0
7651,190222030261012,22.0
6942,150162990252088,12.0
1256,150162990252915,58.0
5360,390740050262001,3.0
2901,15016299025246C,45.0
7392,160194240261003,9.0
8762,500821960262006,24.0
8821,530601890261001,13.0
7661,190222030262013,2.0
8711,500820900042002,0.0
889,150162990252069,102.0
1652,210440010262001,0.0
7093,150162990252311,1.0
7327,150162990252877,23.0
5459,440630030032001,1.0
5167,340490560021002,131.0
2181,340491180262005,3.0
3688,070161700022002,2.0
130,041012050252037,109.0
7045,150162990252240,8.0
1938,310453010261002,30.0
610,070161500021005,41.0
8149,340490010022002,2.0
1730,260290020262006,8.0
1232,150162990252867,9.0
7110,150162990252339,10.0
2912,15016299025261C,30.0
6462,060161000022004,0.0
1220,150162990252826,19.0
1580,190222040262016,1.0
8884,540920010262001,0.0
5633,490810360022002,34.0
7438,170532320022001,33.0
3595,070161450021001,116.0
4029,150162990252239,76.0
8141,330942380261001,4.0
514,070161250021001,38.0
5144,340490340042006,4.0
5237,340491020042003,0.0
1052,150162990252326,107.0
550,070161350022007,0.0
1885,310451290221003,122.0
6909,130950150042001,9.0
682,070161710021001,1.0
2740,530907090262004,0.0
4654,190222040262002,41.0
4860,280063400262005,0.0
560,070161400022006,14.0
2128,340490790021001,3.0
3223,050160280022006,0.0
617,070161520021001,137.0
796,110870010262002,13.0
4349,150162990252943,51.0
8301,340492200261003,8.0
8376,39055061025201C,0.0
4206,150162990252490,41.0
8656,490810340022003,1.0
5871,540920760262003,33.0
6537,070161240022002,0.0
4983,310451290222011,4.0
7248,15016299025258C,25.0
7879,280063030262004,16.0
325,050160650042021,0.0
1208,150162990252785,80.0
5752,510840050262003,30.0
6395,060160880021007,213.0
7243,150162990252525,0.0
1623,200960060042001,5.0
7111,15016299025233C,1.0
6215,050160230022005,0.0
4154,150162990252414,11.0
3304,050160620042002,2.0
7737,200970030262002,19.0
6231,050160280021004,22.0
3008,010010010262002,15.0
8864,530907090262003,0.0
3458,060161020022001,0.0
3966,150162990252141,6.0
6813,110213050262004,13.0
1347,170540270022003,0.0
6280,050160540042011,1.0
4447,170640050262002,10.0
5692,500821040021001,31.0
6278,050160540042009,0.0
2085,340490600261005,209.0
8186,340490500042003,20.0
4689,200300070262001,17.0
8468,410570110262028,73.0
3029,010690110261001,19.0
3742,090100040262017,1.0
307,050160640041006,29.0
935,150162990252135,40.0
2279,400421000262007,1.0
3807,110230060262003,0.0
411,060160970022005,7.0
4021,150162990252226,35.0
5024,310453000262023,260.0
3140,041012050252037,92.0
6556,070161280022005,0.0
5981,560992020222011,20.0
5344,390550110262001,14.0
5920,560990860052025,58.0
3969,150162990252147,87.0
912,150162990252102,9.0
4763,211000050262006,1.0
5062,320380040261002,20.0
5654,490810410252008,14.0
3715,080432110262001,0.0
3097,040041000262009,20.0
717,090100030261002,50.0
7432,170530080261001,16.0
4007,150162990252206,7.0
4962,310450460222052,12.0
5879,540921180242021,0.0
8621,480721500252032,18.0
4748,211000010262002,62.0
1777,280372260262002,7.0
5669,490813000262003,6.0
8960,560991220021006,28.0
342,050160735021003,26.0
8816,510841860252045,0.0
2489,480720690022001,15.0
1775,280372240262004,35.0
4042,150162990252257,15.0
2259,390550610252019,201.0
6609,070161450022002,0.0
3567,070161350022012,11.0
3776,090270100262004,0.0
5606,480721500252052,111.0
7341,150162990252903,0.0
4434,170540270022007,7.0
2749,531020210262003,4.0
5326,350590050262001,85.0
3474,060161060021003,15.0
7136,150162990252372,50.0
676,070161700022007,9.0
6636,070161490022010,0.0
746,090101300042001,0.0
4594,190220930042010,4.0
5115,330664040261001,43.0
2168,340491140021001,85.0
8768,510652130262003,0.0
1031,150162990252290,35.0
4707,200960060042001,8.0
1768,280061150022007,0.0
7876,280061150022004,0.0
86,040041000262005,40.0
6239,050160300022003,1.0
8351,350785350261001,9.0
7660,190222030262012,1.0
8812,510841860252037,0.0
1682,240320010262004,0.0
7766,210610010262010,2.0
4857,280061150022007,0.0
5717,500821750021001,70.0
45,030030020262004,0.0
7486,170640160262003,0.0
2235,350785350261001,7.0
8162,340490330022001,6.0
3099,040042000261001,0.0
1110,150162990252410,20.0
6568,070161320022001,0.0
6096,030680030262003,4.0
5638,490810370022009,0.0
3878,130580100042003,0.0
2421,450670030262001,0.0
1255,150162990252914,2.0
3,010010030262003,0.0
5572,470980060262003,6.0
3811,110703000261001,147.0
1351,170540610042001,6.0
339,050160710022001,25.0
6125,041011310041002,58.0
780,110213050262004,27.0
233,050160360022002,0.0
4534,190220440022010,3.0
8842,530901020022002,1.0
1825,300910430042001,34.0
1482,190220610021004,0.0
108,041011310042002,1.0
4161,150162990252423,32.0
962,150162990252182,8.0
2935,15016903025201C,0.0
8341,350501950042001,8.0
4818,260290020261001,3.0
8909,560990170022002,4.0
2307,410570030262002,64.0
6440,060160980021004,15.0
1734,260290040262005,7.0
5651,490810410251003,194.0
2993,56099365U261005,139.0
7232,150162990252504,0.0
4559,190220580022008,2.0
2457,470712260262003,0.0
1468,190220580022001,0.0
2700,530900500022001,8.0
6494,070161040021001,104.0
2579,500820190262006,10.0
830,130140210022001,0.0
8642,480723230261001,33.0
3128,041012050251010,2147.0
3220,050160280021004,29.0
3281,050160540042031,2.0
3677,070161630022008,9.0
1061,150162990252345,0.0
6838,120130100261001,0.0
6986,150162990252149,9.0
4396,160194290262002,0.0
4423,170534290042002,8.0
6685,070161620022009,2.0
2409,440631650032002,8.0
2927,15016299025280C,1.0
4392,160194280262011,75.0
8690,490812000262006,5.0
1980,320380100262003,0.0
3010,010010030261001,10.0
4980,310451290222007,0.0
8557,470521700222003,0.0
4845,260850050262001,0.0
4466,170640160262002,0.0
5555,470712310042003,0.0
8928,560990860051002,201.0
1869,310450460222048,5.0
260,050160540042015,0.0
2412,440632000261007,117.0
3476,060161070021001,0.0
2393,440630470042007,0.0
5696,500821100041006,141.0
6129,041011330041001,1.0
1234,150162990252873,21.0
4175,150162990252452,45.0
7689,190222040262021,0.0
1868,310450460222047,1.0
6120,041011220222010,6.0
3155,041012050252084,209.0
2277,400421000261002,24.0
562,070161420021001,54.0
5136,340490060022007,11.0
1315,160194300261001,67.0
8819,530601260261001,0.0
4278,15016299025278C,98.0
5725,500821870262009,25.0
5790,510841860252042,0.0
1286,150162990252965,7.0
5592,480721500251013,97.0
2507,480721500252040,5.0
5112,330482760261001,61.0
1122,150162990252429,2.0
4277,150162990252785,131.0
668,070161680041003,25.0
7338,150162990252900,0.0
612,070161500022002,26.0
6086,030262010262001,16.0
7469,170640050262005,0.0
2852,560992020222009,9.0
8540,450670030262001,0.0
5901,560990810022001,0.0
2401,440631580221002,55.0
2434,450791390262002,17.0
3086,030680120261002,28.0
763,110150010261002,79.0
4776,240320750022001,0.0
2917,15016299025267C,18.0
3495,070161110022002,0.0
3656,070161590022005,11.0
6875,130410030042001,0.0
4650,190222040261004,65.0
8413,400560340261001,13.0
5527,450791340042001,2.0
4833,260343270042002,6.0
27,010691170222006,180.0
2308,410570050261002,85.0
8616,480721500251013,91.0
5691,500820900042006,25.0
6016,651089010802001,0.0
7554,190220440022012,0.0
8520,440631580221002,3.0
4484,190220040022004,1.0
2822,560991220022004,0.0
5913,560990860052007,88.0
1508,190220930042007,0.0
8316,350500020262004,3.0
8387,390740570262002,6.0
6459,060161000021003,34.0
7543,190220340022002,0.0
6185,050160150042001,7.0
5397,410570020261008,84.0
6761,090100040262027,26.0
3564,070161350022007,2.0
6332,050160640042004,0.0
6865,130140210022001,0.0
1382,170640160262002,0.0
4011,150162990252211,51.0
832,130140570022001,3.0
5047,310453030262010,0.0
8471,410570120261003,1.0
1851,310450460222021,22.0
3484,070161040022004,0.0
7894,280372290261001,2.0
6406,060160890022006,2.0
4405,170200150262003,0.0
6548,070161270021005,8.0
1120,150162990252426,13.0
6342,050160650042010,1.0
927,150162990252126,12.0
